country,platform,month_latest,month_prev,seller_used_id,seller_name,final_revenue,final_revenue_prev,delta_final_revenue,growth_rate_revenue,final_quantity,final_quantity_prev,delta_final_quantity,growth_rate_quantity,abnormal_type,risk_level,computation_label_prev,computation_label_latest
PH,LAZ,2025-11,2025-10,PH.LAZ.100000105,,6528395.0,1281427.0,5246968.0,409.46%,12813.0,1602.0,11211.0,699.81%,source-switch,medium,S5,S4
PH,LAZ,2025-11,2025-10,PH.LAZ.100000393,,133147.6,12650.0,120497.6,952.55%,1360.0,110.0,1250.0,1136.36%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000005700,,83723.6,24890.8,58832.8,236.36%,370.0,110.0,260.0,236.36%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000008730,,113391.19,30906.0,82485.19,266.89%,399.0,192.0,207.0,107.81%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000025509,,75879.91,1820.0,74059.91,4069.23%,463.0,28.0,435.0,1553.57%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000069993,,61954.0,12512.0,49442.0,395.16%,64.0,17.0,47.0,276.47%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000072070,,9459.0,2484.0,6975.0,280.8%,13.0,6.0,7.0,116.67%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000073624,,394.0,66.0,328.0,496.97%,8.0,2.0,6.0,300.0%,base-effect,low,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000078315,,24275.46,7524.2,16751.26,222.63%,243.0,111.0,132.0,118.92%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000093070,,435.0,60.0,375.0,625.0%,4.0,1.0,3.0,300.0%,base-effect,low,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000119529,,20170.0,5165.139999999999,15004.86,290.5%,221.0,64.0,157.0,245.31%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000119565,,8600.0,2200.0,6400.0,290.91%,43.0,11.0,32.0,290.91%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100012296,,45559.0,4495.0,41064.0,913.55%,41.0,5.0,36.0,720.0%,source-switch,medium,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000127791,,1273.0,294.0,979.0,332.99%,47.0,6.0,41.0,683.33%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000130322,,7637.79,110.0,7527.79,6843.45%,115.0,2.0,113.0,5650.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000149304,,242424.0,55903.83,186520.16999999998,333.64%,1025.0,268.0,757.0,282.46%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000156472,,5550.0,1110.0,4440.0,400.0%,10.0,2.0,8.0,400.0%,source-switch,medium,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000163522,,78498.0,16907.1,61590.9,364.29%,372.0,83.0,289.0,348.19%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000164224,,532.0,60.0,472.0,786.67%,7.0,1.0,6.0,600.0%,base-effect,low,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100022033,,220382.0,23987.0,196395.0,818.76%,978.0,83.0,895.0,1078.31%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000255964,,14578.0,3716.0,10862.0,292.3%,230.0,152.0,78.0,51.32%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000256920,,12787.0,4214.65,8572.35,203.39%,153.0,55.0,98.0,178.18%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000267481,,1777.0,61.11,1715.89,2807.87%,53.0,7.0,46.0,657.14%,base-effect,low,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000271587,,15172.08,567.12,14604.96,2575.29%,60.0,3.0,57.0,1900.0%,source-switch,medium,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000272622,,12403.0,836.0,11567.0,1383.61%,157.0,11.0,146.0,1327.27%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000275163,,6225.0,525.9300000000001,5699.07,1083.62%,22.0,3.0,19.0,633.33%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000320305,,65715.0,21188.0,44527.0,210.15%,15.0,3.0,12.0,400.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000324707,,350625.1,65251.8,285373.3,437.34%,2338.0,339.0,1999.0,589.68%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000338906,,193.0,59.17,133.82999999999998,226.18%,3.0,1.0,2.0,200.0%,base-effect,low,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100034387,,19986.489999999998,1100.6799999999998,18885.809999999998,1715.83%,151.0,45.0,106.0,235.56%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000350212,,53990.9,579.7,53411.200000000004,9213.59%,750.0,8.0,742.0,9275.0%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000351620,,37400.0,2520.0,34880.0,1384.13%,141.0,18.0,123.0,683.33%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000357220,,38181.0,5669.509999999999,32511.49,573.44%,429.0,77.0,352.0,457.14%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000368412,,3974377.0,1002946.0,2971431.0,296.27%,7120.0,1630.0,5490.0,336.81%,source-switch,medium,S3,S6
PH,LAZ,2025-11,2025-10,PH.LAZ.100037696,,840249.75,19301.04,820948.71,4253.39%,243.0,88.0,155.0,176.14%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100047415,,4509.0,395.0,4114.0,1041.52%,7.0,1.0,6.0,600.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000474490,,7099.0,1030.5,6068.5,588.89%,31.0,6.0,25.0,416.67%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100048299,,371810.98,59148.17,312662.81,528.61%,3057.0,779.0,2278.0,292.43%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000521008,,630879.6,161971.2,468908.39999999997,289.5%,459.0,61.0,398.0,652.46%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100071509,,4108051.74,295644.0,3812407.74,1289.53%,9366.0,457.0,8909.0,1949.45%,source-switch,medium,S6,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100107923,,32324.5,5800.6,26523.9,457.26%,35.0,4.0,31.0,775.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100117440,,884817.0,231840.0,652977.0,281.65%,1133.0,105.0,1028.0,979.05%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100127179,,427972.71,115866.96,312105.75,269.37%,4529.0,1361.0,3168.0,232.77%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100135121,,17546.0,2950.0,14596.0,494.78%,174.0,50.0,124.0,248.0%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100138628,,8886280.0,1560440.0,7325840.0,469.47%,3557.0,729.0,2828.0,387.93%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100138658,,3674.65,954.0,2720.65,285.18%,42.0,6.0,36.0,600.0%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100154960,,3009.0,649.0,2360.0,363.64%,51.0,11.0,40.0,363.64%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.100157645,,4230.0,523.8,3706.2,707.56%,14.0,4.0,10.0,250.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.13,,182071.0,46412.8,135658.2,292.29%,2693.0,1184.0,1509.0,127.45%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.1466,,11794.210000000001,2066.1000000000004,9728.11,470.84%,33.0,6.0,27.0,450.0%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.15922,,16820.83,774.04,16046.79,2073.12%,24.0,4.0,20.0,500.0%,spike-out-trend,high,S5,S5
