country,platform,month_latest,month_prev,seller_used_id,seller_name,abnormal_type,computation_label_prev,computation_label_latest,has_S1_prev,has_S1_latest,has_S3_prev,has_S3_latest,historical_quantity_prev,historical_quantity_latest,historical_review_prev,historical_review_latest,final_asp_prev,final_asp_latest
PH,LAZ,2025-11,2025-10,PH.LAZ.100000105,,source-switch,S5,S4,False,False,False,False,60000.0,300000.0,263.0,246.0,630.7962962962963,632.8207547169811
PH,LAZ,2025-11,2025-10,PH.LAZ.100000393,,source-switch,S3,S5,False,False,True,False,67399.0,67507.0,9118.0,9149.0,115.0,91.52499999999999
PH,LAZ,2025-11,2025-10,PH.LAZ.1000005700,,source-switch,S3,S5,False,False,True,False,21308.0,21359.0,4817.0,4842.0,226.28,226.28
PH,LAZ,2025-11,2025-10,PH.LAZ.1000008730,,spike-out-trend,S5,S5,False,False,True,False,4181.0,11325.0,949.0,3043.0,139.39999999999998,185.356
PH,LAZ,2025-11,2025-10,PH.LAZ.1000025509,,source-switch,S3,S5,False,False,True,False,1574.0,8788.0,308.0,3304.0,65.0,150.68375
PH,LAZ,2025-11,2025-10,PH.LAZ.1000069993,,source-switch,S3,S5,False,False,True,False,448.0,2498.0,114.0,715.0,736.0,871.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000072070,,source-switch,S3,S5,False,False,True,False,165.0,731.0,35.0,151.0,550.0,333.8
PH,LAZ,2025-11,2025-10,PH.LAZ.1000073624,,base-effect,S5,S5,False,False,False,False,257.0,435.0,28.0,65.0,33.0,46.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000078315,,source-switch,S3,S5,False,False,True,False,5150.0,5182.0,511.0,1720.0,46.95,63.64666666666667
PH,LAZ,2025-11,2025-10,PH.LAZ.1000093070,,base-effect,S5,S5,False,False,False,False,28.0,150.0,10.0,36.0,60.0,92.5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000119529,,spike-out-trend,S5,S5,False,False,True,False,19382.0,19422.0,2569.0,2582.0,79.66833333333334,76.8
PH,LAZ,2025-11,2025-10,PH.LAZ.1000119565,,source-switch,S3,S5,False,False,True,False,2163.0,2178.0,553.0,556.0,200.0,200.0
PH,LAZ,2025-11,2025-10,PH.LAZ.100012296,,source-switch,S2,S5,False,False,False,False,1684.0,1811.0,161.0,384.0,899.0,1049.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000127791,,spike-out-trend,S5,S5,False,False,False,False,450.0,2004.0,97.0,517.0,49.0,36.125
PH,LAZ,2025-11,2025-10,PH.LAZ.1000130322,,spike-out-trend,S5,S5,False,False,False,False,82.0,7498.0,30.0,1448.0,55.0,75.77799999999999
PH,LAZ,2025-11,2025-10,PH.LAZ.1000149304,,spike-out-trend,S5,S5,False,False,True,False,62994.0,63125.0,11202.0,11228.0,382.8075,449.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000156472,,source-switch,S2,S5,False,False,False,False,869.0,870.0,128.0,128.0,555.0,555.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000163522,,source-switch,S3,S5,False,False,True,False,29504.0,29596.0,4825.0,4837.0,203.7,304.5
PH,LAZ,2025-11,2025-10,PH.LAZ.1000164224,,base-effect,S5,S5,False,False,False,False,78.0,80.0,21.0,31.0,60.0,74.6
PH,LAZ,2025-11,2025-10,PH.LAZ.100022033,,source-switch,S3,S5,False,False,True,False,30186.0,30300.0,9063.0,9093.0,289.0,179.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000255964,,source-switch,S3,S5,False,False,True,False,5333.0,5419.0,917.0,938.0,61.0,69.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000256920,,source-switch,S3,S5,False,False,True,False,8017.0,8050.0,1542.0,1546.0,76.63,89.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000267481,,base-effect,S2,S5,False,False,False,False,18699.0,18706.0,630.0,631.0,8.73,139.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000271587,,source-switch,S2,S5,False,False,False,False,320.0,2221.0,69.0,447.0,189.04,233.04999999999998
PH,LAZ,2025-11,2025-10,PH.LAZ.1000272622,,source-switch,S3,S5,False,False,True,False,11998.0,12017.0,2045.0,2051.0,76.0,79.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000275163,,spike-out-trend,S5,S5,False,False,False,False,132.0,238.0,48.0,59.0,175.31,325.00333333333333
PH,LAZ,2025-11,2025-10,PH.LAZ.1000320305,,spike-out-trend,S5,S5,False,False,False,False,106.0,389.0,33.0,117.0,5065.666666666667,4010.0
PH,LAZ,2025-11,2025-10,PH.LAZ.1000324707,,spike-out-trend,S5,S5,False,False,True,False,6542.0,26226.0,1912.0,3989.0,220.19999999999996,160.48624999999998
PH,LAZ,2025-11,2025-10,PH.LAZ.1000338906,,base-effect,S5,S5,False,False,False,False,115.0,165.0,19.0,28.0,58.085,72.0
PH,LAZ,2025-11,2025-10,PH.LAZ.100034387,,spike-out-trend,S5,S5,False,False,False,False,4895.0,4927.0,667.0,1057.0,29.61,70.86800000000001
PH,LAZ,2025-11,2025-10,PH.LAZ.1000350212,,source-switch,S3,S5,False,False,True,False,119.0,44559.0,33.0,9746.0,110.975,83.405
