country,platform,category_url,month_latest,month_prev,spu_count_prev,spu_count_latest,spu_ratio_vs_prev,status
ID,LAZ,https://www.lazada.co.id/beli-kopi,2025-12,2025-11,274.0,340,124.09%,normal
ID,LAZ,https://www.lazada.co.id/beli-lap-bayi-isi-ulang/,2025-12,2025-11,305.0,400,131.15%,normal
ID,LAZ,https://www.lazada.co.id/beli-makanan-bayi-balita,2025-12,2025-11,305.0,362,118.69%,normal
ID,LAZ,https://www.lazada.co.id/beli-makanan-minuman-beku,2025-12,2025-11,305.0,402,131.8%,normal
ID,LAZ,https://www.lazada.co.id/beli-makanan-minuman-susu-kental,2025-12,2025-11,311.0,400,128.62%,normal
ID,LAZ,https://www.lazada.co.id/beli-mesin-kopi,2025-12,2025-11,248.0,307,123.79%,normal
ID,LAZ,https://www.lazada.co.id/beli-pembalut/,2025-12,2025-11,302.0,334,110.6%,normal
ID,LAZ,https://www.lazada.co.id/beli-popok-sekali-pakai/,2025-12,2025-11,326.0,304,93.25%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-bayi-0-6-bulan,2025-12,2025-11,251.0,323,128.69%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-bayi-6-12-bulan,2025-12,2025-11,216.0,228,105.56%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-maternal,2025-12,2025-11,225.0,360,160.0%,normal
ID,LAZ,https://www.lazada.co.id/beli-susu-pertumbuhan-1-3-tahun,2025-12,2025-11,290.0,359,123.79%,normal
ID,LAZ,https://www.lazada.co.id/coklat-panas,2025-12,2025-11,299.0,354,118.39%,normal
ID,LAZ,https://www.lazada.co.id/jual-makanan-anjing,2025-12,2025-11,303.0,383,126.4%,normal
ID,LAZ,https://www.lazada.co.id/jual-makanan-kucing,2025-12,2025-11,304.0,335,110.2%,normal
ID,LAZ,https://www.lazada.co.id/jual-sampah-kucing,2025-12,2025-11,326.0,346,106.13%,normal
ID,LAZ,https://www.lazada.co.id/shop-Cokelat,2025-12,2025-11,320.0,305,95.31%,normal
ID,LAZ,https://www.lazada.co.id/shop-green-black-&-classic-tea,2025-12,2025-11,192.0,325,169.27%,normal
ID,LAZ,https://www.lazada.co.id/shop-kapsul-kopi,2025-12,2025-11,200.0,250,125.0%,normal
ID,LAZ,https://www.lazada.co.id/shop-kopi-giling,2025-12,2025-11,304.0,406,133.55%,normal
ID,LAZ,https://www.lazada.co.id/shop-kopi-instan,2025-12,2025-11,313.0,360,115.02%,normal
ID,LAZ,https://www.lazada.co.id/shop-kopi-siap-minum,2025-12,2025-11,311.0,399,128.3%,normal
ID,LAZ,https://www.lazada.co.id/shop-makanan-kaleng,2025-12,2025-11,361.0,353,97.78%,normal
ID,LAZ,https://www.lazada.co.id/shop-permen-gummy,2025-12,2025-11,304.0,360,118.42%,normal
ID,LAZ,https://www.lazada.co.id/shop-permen-kunyah-permen-tali,2025-12,2025-11,354.0,342,96.61%,normal
ID,LAZ,https://www.lazada.co.id/shop-permen-mint,2025-12,2025-11,302.0,403,133.44%,normal
ID,LAZ,https://www.lazada.co.id/shop-sugar,2025-12,2025-11,310.0,309,99.68%,normal
ID,LAZ,https://www.lazada.co.id/shop-susu-segar,2025-12,2025-11,304.0,440,144.74%,normal
ID,LAZ,https://www.lazada.co.id/shop-uht-milk-ready-to-drink,2025-12,2025-11,336.0,368,109.52%,normal
ID,LAZ,https://www.lazada.co.id/suplemen-kesejahteraan,2025-12,2025-11,308.0,393,127.6%,normal
ID,SHP,https://shopee.co.id/Canned-Food-cat.11043451.11043557?page=0&sortBy=sales,2025-12,2025-11,300.0,500,166.67%,normal
ID,SHP,https://shopee.co.id/Cat-Food-cat.11043572.11043573.11043576,2025-12,2025-11,300.0,458,152.67%,normal
ID,SHP,https://shopee.co.id/Chocolate-Drinks-cat.11043451.11043502.11043505,2025-12,2025-11,300.0,419,139.67%,normal
ID,SHP,https://shopee.co.id/Chocolate-cat.11043451.11043453.11043455,2025-12,2025-11,300.0,393,131.0%,normal
ID,SHP,https://shopee.co.id/Coffee-cat.11043451.11043502.11043503,2025-12,2025-11,357.0,433,121.29%,normal
ID,SHP,https://shopee.co.id/Dairy-Eggs-cat.11043451.11043517,2025-12,2025-11,300.0,438,146.0%,normal
ID,SHP,https://shopee.co.id/Dog-Treats-cat.11043572.11043573.11043575,2025-12,2025-11,300.0,441,147.0%,normal
ID,SHP,https://shopee.co.id/Fresh-Frozen-Food-cat.11043451.11043529,2025-12,2025-11,359.0,365,101.67%,normal
ID,SHP,https://shopee.co.id/Health-cat.11043279,2025-12,2025-11,300.0,248,82.67%,normal
ID,SHP,https://shopee.co.id/Litter-Toilet-cat.11043572.11043596,2025-12,2025-11,300.0,259,86.33%,normal
ID,SHP,https://shopee.co.id/Maternity-Milk-cat.11043350.11043385.11043386,2025-12,2025-11,300.0,307,102.33%,normal
ID,SHP,https://shopee.co.id/Mesin-Kopi-Aksesoris-cat.11044258.11044294.11044300,2025-12,2025-11,300.0,402,134.0%,normal
ID,SHP,https://shopee.co.id/Milk-Formula-Baby-Food-cat.11043350.11043428,2025-12,2025-11,300.0,272,90.67%,normal
ID,SHP,https://shopee.co.id/Milk-Formula-cat.11043350.11043428.11043429,2025-12,2025-11,300.0,455,151.67%,normal
ID,SHP,https://shopee.co.id/Popok-Sekali-Pakai-cat.11043350.11043433.11043436,2025-12,2025-11,349.0,304,87.11%,normal
