country,platform,category_url
VN,SHP,https://shopee.vn/Coffee-cat.11036525.11036576.11036577
VN,SHP,https://shopee.vn/M%C3%A1y-pha-c%C3%A0-ph%C3%AA-cat.11036971.11036972.11036988
VN,SHP,https://shopee.vn/Tea-Tea-Bags-cat.11036525.11036576.11036578
VN,SHP,https://shopee.vn/Baby-Food-cat.11036194.11036248
VN,SHP,https://shopee.vn/Milk-24-months-and-ups-cat.11036194.11059299
VN,SHP,https://shopee.vn/Milk-Formula-0-24-months-cat.11036194.11059300
VN,SHP,https://shopee.vn/Maternity-Milk-cat.11036194.11036217.11036218
VN,SHP,https://shopee.vn/Milk-cat.11036525.11036591.11036592?facet=101593&page=0&sortBy=sales
VN,SHP,https://shopee.vn/Dairy-Eggs-cat.11036525.11036591
VN,SHP,https://shopee.vn/Chocolate-Drinks-cat.11036525.11036576.11036579
VN,SHP,https://shopee.vn/Yogurt-Cultured-Milk-cat.11036525.11036591.11036593
VN,SHP,https://shopee.vn/Canned-Food-cat.11036525.11036544.11036549
VN,SHP,https://shopee.vn/Fresh-Frozen-Food-cat.11036525.11036601
VN,SHP,https://shopee.vn/Baby-Vitamins-Supplements-cat.11036194.11036253.11036254
VN,SHP,https://shopee.vn/Snacks-cat.11036525.11036532
VN,SHP,https://shopee.vn/Chocolate-cat.11036525.11036532.11036534
VN,SHP,https://shopee.vn/Sweets-Candy-cat.11036525.11036532.11036533
VN,SHP,https://shopee.vn/Dog-Treats-cat.11036478.11036479.11036481
VN,SHP,https://shopee.vn/Cat-Treats-cat.11036478.11036479.11036483
VN,SHP,https://shopee.vn/Litter-Toilet-cat.11036478.11036498
VN,LAZ,https://www.lazada.vn/ca-phe
VN,LAZ,https://www.lazada.vn/mua-may-pha-cafe
VN,LAZ,https://www.lazada.vn/shop-ca-phe-vien-nen
VN,LAZ,https://www.lazada.vn/shop-green-black-&-classic-tea
VN,LAZ,https://www.lazada.vn/shop-ca-phe-xay
VN,LAZ,https://www.lazada.vn/shop-ca-phe-pha-san
VN,LAZ,https://www.lazada.vn/shop-ca-phe-uong-lien
VN,LAZ,https://www.lazada.vn/thuc-an-cho-be
VN,LAZ,https://www.lazada.vn/sua-bot-cho-be
VN,LAZ,https://www.lazada.vn/sua-cho-be-so-sinh
VN,LAZ,https://www.lazada.vn/sua-cho-tre-6-12-thang-tuoi
VN,LAZ,https://www.lazada.vn/sua-cho-tre-tap-di-tu-1-3-tuoi
VN,LAZ,https://www.lazada.vn/sua-cho-tre-tu-1-3-tuoi
VN,LAZ,https://www.lazada.vn/san-pham-sua-cho-me
VN,LAZ,https://www.lazada.vn/shop-uht-milk-ready-to-drink
VN,LAZ,https://www.lazada.vn/bach-hoa-online-sua-dac
VN,LAZ,https://www.lazada.vn/shop-hot-chocolate
VN,LAZ,https://www.lazada.vn/shop-sua-tuoi
VN,LAZ,https://www.lazada.vn/shop-do-hop
VN,LAZ,https://www.lazada.vn/shop-mon-an-nau-san
VN,LAZ,https://www.lazada.vn/cham-soc-suc-khoe
VN,LAZ,https://www.lazada.vn/shop-sugar
VN,LAZ,https://www.lazada.vn/shop-so-co-la
VN,LAZ,https://www.lazada.vn/shop-keo-deo
VN,LAZ,https://www.lazada.vn/shop-keo-chewy
VN,LAZ,https://www.lazada.vn/shop-keo-bac-ha
VN,LAZ,https://www.lazada.vn/thuc-an-cho-cho
VN,LAZ,https://www.lazada.vn/thuc-an-cho-meo
VN,LAZ,https://www.lazada.vn/cat-ve-sinh-meo
TH,SHP,https://shopee.co.th/Coffee-cat.11044943.11045054.11045385
TH,SHP,https://shopee.co.th/Coffee-Machines-Accessories-cat.11044955.11045170.11045749
TH,SHP,https://shopee.co.th/Tea-Tea-Bags-cat.11044943.11045054.11045381
TH,SHP,https://shopee.co.th/Baby-milk-and-food-for-kids-above-1-year-cat.11044960.11045222
TH,SHP,https://shopee.co.th/Baby-milk-and-food-for-infant-cat.11044960.11045223
TH,SHP,https://shopee.co.th/Specialty-Milk-Formula-cat.11044960.11045224
TH,SHP,https://shopee.co.th/Maternity-Formula-cat.11044960.11045228.11046168
TH,SHP,https://shopee.co.th/Dairy-Eggs-cat.11044943.11045051
TH,SHP,https://shopee.co.th/Chocolate-Drinks-cat.11044943.11045054.11045384
TH,SHP,https://shopee.co.th/Yogurt-Cultured-Milk-cat.11044943.11045051.11045356
TH,SHP,https://shopee.co.th/Canned-Food-cat.11044943.11045050.11045350
TH,SHP,https://shopee.co.th/Fresh-Frozen-Food-cat.11044943.11045047
TH,SHP,https://shopee.co.th/Health-Wellness-cat.11044942
TH,SHP,https://shopee.co.th/Snacks-cat.11044943.11045055
TH,SHP,https://shopee.co.th/Chocolate-cat.11044943.11045055.11045395
TH,SHP,https://shopee.co.th/Sweets-Candy-cat.11044943.11045055.11045389
TH,SHP,https://shopee.co.th/Dog-Food-cat.11044947.11045086.11045471
TH,SHP,https://shopee.co.th/Cat-Treats-cat.11044947.11045086.11045478
TH,SHP,https://shopee.co.th/Litter-Toilet-cat.11044947.11045088
TH,LAZ,https://www.lazada.co.th/shop-coffee
TH,LAZ,https://www.lazada.co.th/shop-coffee-machines
TH,LAZ,https://www.lazada.co.th/shop-groceries-beverages-coffee-coffeecapsules
TH,LAZ,https://www.lazada.co.th/shop-green-black-&-classic-tea
TH,LAZ,https://www.lazada.co.th/shop-groceries-beverages-coffee-groundcoffee
TH,LAZ,https://www.lazada.co.th/shop-groceries-beverages-coffee-readytodrinkcoffee
TH,LAZ,https://www.lazada.co.th/shop-groceries-beverages-coffee-instantcoffee
TH,LAZ,https://www.lazada.co.th/shop-baby-food
TH,LAZ,https://www.lazada.co.th/shop-milk-formula-and-baby-food
TH,LAZ,https://www.lazada.co.th/shop-infant-milk-formula
TH,LAZ,https://www.lazada.co.th/shop-followon-milk-formula
TH,LAZ,https://www.lazada.co.th/shop-toddler-milk-1-under-3-yrs
TH,LAZ,https://www.lazada.co.th/shop-growth-milk-formula
TH,LAZ,https://www.lazada.co.th/shop-maternal-milk-formula
TH,LAZ,https://www.lazada.co.th/shop-uht-milk-ready-to-drink
TH,LAZ,https://www.lazada.co.th/shop-groceries-beverages-uht-milk-milk-powder-condensed-milk
TH,LAZ,https://www.lazada.co.th/shop-hot-chocolate
TH,LAZ,https://www.lazada.co.th/shop-groceries-dairychilled-freshmilk
TH,LAZ,https://www.lazada.co.th/shop-groceries-foodstaplescookingessentials-cannedfood
TH,LAZ,https://www.lazada.co.th/shop-groceries-dairychilled-readymealsreadytocook-chilledreadymeals
TH,LAZ,https://www.lazada.co.th/shop-health-well-being
TH,LAZ,https://www.lazada.co.th/shop-sugar
TH,LAZ,https://www.lazada.co.th/shop-Groceries-ChocolateSnacksSweets-Chocolate
TH,LAZ,https://www.lazada.co.th/shop-groceries-chocolatesnackssweets-sweets-gummysweets
TH,LAZ,https://www.lazada.co.th/shop-groceries-chocolatesnackssweets-sweets-chewycandy
TH,LAZ,https://www.lazada.co.th/shop-Groceries-ChocolateSnacksSweets-Mints
TH,LAZ,https://www.lazada.co.th/shop-dog-food
TH,LAZ,https://www.lazada.co.th/shop-cat-food
TH,LAZ,https://www.lazada.co.th/shop-cat-litter
ID,SHP,https://shopee.co.id/Coffee-cat.11043451.11043502.11043503
ID,SHP,https://shopee.co.id/Mesin-Kopi-Aksesoris-cat.11044258.11044294.11044300
ID,SHP,https://shopee.co.id/Milk-Formula-Baby-Food-cat.11043350.11043428
ID,SHP,https://shopee.co.id/Milk-Formula-cat.11043350.11043428.11043429
ID,SHP,https://shopee.co.id/Maternity-Milk-cat.11043350.11043385.11043386
ID,SHP,https://shopee.co.id/Dairy-Eggs-cat.11043451.11043517
ID,SHP,https://shopee.co.id/Chocolate-Drinks-cat.11043451.11043502.11043505
ID,SHP,https://shopee.co.id/Yogurt-Cultured-Milk-cat.11043451.11043517.11043522
ID,SHP,https://shopee.co.id/Canned-Food-cat.11043451.11043557?page=0&sortBy=sales
ID,SHP,https://shopee.co.id/Fresh-Frozen-Food-cat.11043451.11043529
ID,SHP,https://shopee.co.id/Health-cat.11043279
ID,SHP,https://shopee.co.id/Sweets-Candy-cat.11043451.11043453.11043454
ID,SHP,https://shopee.co.id/Chocolate-cat.11043451.11043453.11043455
ID,SHP,https://shopee.co.id/Dog-Treats-cat.11043572.11043573.11043575
ID,SHP,https://shopee.co.id/Cat-Food-cat.11043572.11043573.11043576
ID,SHP,https://shopee.co.id/Litter-Toilet-cat.11043572.11043596
ID,LAZ,https://www.lazada.co.id/beli-kopi
ID,LAZ,https://www.lazada.co.id/beli-mesin-kopi
ID,LAZ,https://www.lazada.co.id/shop-kapsul-kopi
ID,LAZ,https://www.lazada.co.id/shop-green-black-&-classic-tea
ID,LAZ,https://www.lazada.co.id/shop-kopi-giling
ID,LAZ,https://www.lazada.co.id/shop-kopi-siap-minum
ID,LAZ,https://www.lazada.co.id/shop-kopi-instan
ID,LAZ,https://www.lazada.co.id/beli-makanan-bayi-balita
ID,LAZ,https://www.lazada.co.id/beli-susu-bayi-0-6-bulan
ID,LAZ,https://www.lazada.co.id/beli-susu-bayi-6-12-bulan
ID,LAZ,https://www.lazada.co.id/beli-susu-pertumbuhan-1-3-tahun
ID,LAZ,https://www.lazada.co.id/beli-susu-maternal
ID,LAZ,https://www.lazada.co.id/shop-uht-milk-ready-to-drink
ID,LAZ,https://www.lazada.co.id/beli-makanan-minuman-susu-kental
ID,LAZ,https://www.lazada.co.id/coklat-panas
ID,LAZ,https://www.lazada.co.id/shop-susu-segar
ID,LAZ,https://www.lazada.co.id/shop-makanan-kaleng
ID,LAZ,https://www.lazada.co.id/beli-makanan-minuman-beku
ID,LAZ,https://www.lazada.co.id/suplemen-kesejahteraan
ID,LAZ,https://www.lazada.co.id/shop-sugar
ID,LAZ,https://www.lazada.co.id/shop-Cokelat
ID,LAZ,https://www.lazada.co.id/shop-permen-gummy
ID,LAZ,https://www.lazada.co.id/shop-permen-kunyah-permen-tali
ID,LAZ,https://www.lazada.co.id/shop-permen-mint
ID,LAZ,https://www.lazada.co.id/jual-makanan-anjing
ID,LAZ,https://www.lazada.co.id/jual-makanan-kucing
ID,LAZ,https://www.lazada.co.id/jual-sampah-kucing
SG,SHP,https://shopee.sg/Coffee-cat.11011871.11011889.11011900
SG,SHP,https://shopee.sg/Coffee-Machines-cat.11027421.11027457.11027468
SG,SHP,https://shopee.sg/Baby-Food-cat.11011538.11011639.11011650
SG,SHP,https://shopee.sg/Infant-Milk-Formula-cat.11011538.11059285
SG,SHP,https://shopee.sg/Milk-Formula-(1-year-)-cat.11011538.11011731
SG,SHP,https://shopee.sg/Maternal-Milk-cat.11011538.11011731.11011737
SG,SHP,https://shopee.sg/Dairy-Eggs-Chilled-Food-cat.11011871.11011925
SG,SHP,https://shopee.sg/Instant-Drink-cat.11011871.11011889.11011897
SG,SHP,https://shopee.sg/Yogurt-Cultured-Milk-cat.11011871.11011925.11011928
SG,SHP,https://shopee.sg/Canned-Dried-Food-cat.11011871.11011936.11011942
SG,SHP,https://shopee.sg/Frozen-Food-cat.11011871.11011956
SG,SHP,https://shopee.sg/Health-Wellness-cat.11027491
SG,SHP,https://shopee.sg/Candy-cat.11011871.11011998.11012006
SG,SHP,https://shopee.sg/Chocolate-cat.11011871.11011998.11012005
SG,SHP,https://shopee.sg/Dog-Food-Treats-cat.11012453.11027603.11027605
SG,SHP,https://shopee.sg/Cat-Food-Treats-cat.11012453.11027603.11027606
SG,SHP,https://shopee.sg/Pet-Cleaning-Bath-Needs-cat.11012453.11027618.11027620
SG,LAZ,https://www.lazada.sg/coffee
SG,LAZ,https://www.lazada.sg/shop-coffee-machines
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-coffeecapsules
SG,LAZ,https://www.lazada.sg/shop-green-black-&-classic-tea
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-groundcoffee
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-readytodrinkcoffee
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-coffee-instantcoffee
SG,LAZ,https://www.lazada.sg/baby-toddler-foods
SG,LAZ,https://www.lazada.sg/shop-formula-milk
SG,LAZ,https://www.lazada.sg/shop-infant-milk
SG,LAZ,https://www.lazada.sg/shop-followon-milk-formula
SG,LAZ,https://www.lazada.sg/shop-toddler-milk
SG,LAZ,https://www.lazada.sg/shop-growth-milk
SG,LAZ,https://www.lazada.sg/shop-maternal-milk
SG,LAZ,https://www.lazada.sg/shop-uht-milk-ready-to-drink
SG,LAZ,https://www.lazada.sg/shop-groceries-beverages-uht-milk-milk-powder-condensed-milk
SG,LAZ,https://www.lazada.sg/hot-chocolate
SG,LAZ,https://www.lazada.sg/shop-groceries-dairychilled-freshmilk
SG,LAZ,https://www.lazada.sg/shop-groceries-foodstaplescookingessentials-cannedfood
SG,LAZ,https://www.lazada.sg/shop-groceries-dairychilled-readymealsreadytocook-chilledreadymeals
SG,LAZ,https://www.lazada.sg/shop-well-being
SG,LAZ,https://www.lazada.sg/shop-sugar
SG,LAZ,https://www.lazada.sg/shop-Groceries-ChocolateSnacksSweets-Chocolate
SG,LAZ,https://www.lazada.sg/shop-groceries-chocolatesnackssweets-sweets-chewycandy
SG,LAZ,https://www.lazada.sg/shop-Groceries-ChocolateSnacksSweets-Mints
SG,LAZ,https://www.lazada.sg/shop-dog-food
SG,LAZ,https://www.lazada.sg/shop-cat-food
SG,LAZ,https://www.lazada.sg/shop-cat-litter
MY,SHP,https://shopee.com.my/Coffee-Tea-cat.11000003.11000069
MY,SHP,https://shopee.com.my/Coffee-Machines-and-Accessories-cat.11000824.11000861.11000864
MY,SHP,https://shopee.com.my/Formula-Food-cat.11000345.11000422
MY,SHP,https://shopee.com.my/Infant-Milk-(0-6-months)-cat.11000345.11000422.11000425
MY,SHP,https://shopee.com.my/Maternal-Milk-cat.11000345.11000422.11000424
MY,SHP,https://shopee.com.my/Chocolate-Malt-cat.11000003.11000091.11000092
MY,SHP,https://shopee.com.my/Yogurt-Drinks-cat.11000003.11000079.11000090
MY,SHP,https://shopee.com.my/Canned-Packed-Food-cat.11000003.11000035
MY,SHP,https://shopee.com.my/Fresh-Frozen-Food-cat.11000003.11000099
MY,SHP,https://shopee.com.my/Well-being-cat.11000168.11000338.11000342
MY,SHP,https://shopee.com.my/Sweets-Candies-cat.11000003.11000010.11000011
MY,SHP,https://shopee.com.my/Chocolate-cat.11000003.11000010.11000012
PH,SHP,https://shopee.ph/Chocolates-cat.11021197.11021224.11021227
PH,SHP,https://shopee.ph/Candy-cat.11021197.11021224.11021226
TW,SHP,https://shopee.tw/Imported-Snacks-cat.11040483.11042031
MY,SHP,https://shopee.com.my/Dog-Food-Treats-cat.11000003.11000125.11000126
MY,SHP,https://shopee.com.my/Cat-Food-Treats-cat.11000003.11000125.11000127
MY,SHP,https://shopee.com.my/Pet-Toilets-Litters-Pads-cat.11000003.11000125.11000138
MY,LAZ,https://www.lazada.com.my/coffee
MY,LAZ,https://www.lazada.com.my/shop-coffee-machines
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-coffeecapsules
MY,LAZ,https://www.lazada.com.my/shop-green-black-&-classic-tea
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-groundcoffee
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-readytodrinkcoffee
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-coffee-instantcoffee
MY,LAZ,https://www.lazada.com.my/shop-baby-food-2
MY,LAZ,https://www.lazada.com.my/shop-milk-formula-tailored-nutrition
MY,LAZ,https://www.lazada.com.my/shop-infant-milk-formula-2
MY,LAZ,https://www.lazada.com.my/shop-followon-milk-formula
MY,LAZ,https://www.lazada.com.my/shop-toddler-milk
MY,LAZ,https://www.lazada.com.my/shop-growth-milk-formula
MY,LAZ,https://www.lazada.com.my/shop-maternal-milk-formula-2
MY,LAZ,https://www.lazada.com.my/shop-uht-milk-ready-to-drink
MY,LAZ,https://www.lazada.com.my/shop-groceries-beverages-uht-milk-milk-powder-condensed-milk
MY,LAZ,https://www.lazada.com.my/hot-chocolate
MY,LAZ,https://www.lazada.com.my/shop-groceries-dairychilled-freshmilk
MY,LAZ,https://www.lazada.com.my/shop-groceries-foodstaplescookingessentials-cannedfood
MY,LAZ,https://www.lazada.com.my/shop-groceries-dairychilled-readymealsreadytocook-chilledreadymeals
MY,LAZ,https://www.lazada.com.my/shop-groceries-frozen-convenience-foods-ready-to-eat-meals
MY,LAZ,https://www.lazada.com.my/shop-well-being
MY,LAZ,https://www.lazada.com.my/shop-sugar
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-chocolate
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-sweets-gummysweets
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-sweets-chewycandy
MY,LAZ,https://www.lazada.com.my/shop-groceries-chocolatesnackssweets-mints
MY,LAZ,https://www.lazada.com.my/shop-dog-food
MY,LAZ,https://www.lazada.com.my/shop-cat-food
MY,LAZ,https://www.lazada.com.my/shop-cat-litter
VN,SHP,https://shopee.vn/Disposable-Diapers-cat.11036194.11036260.11036263
VN,SHP,https://shopee.vn/Wipes-cat.11036194.11036222.11036230
TH,SHP,https://shopee.co.th/Tape-Pants-Disposable-Diapers-cat.11044960.11045218.11046127
TH,SHP,https://shopee.co.th/Diapers-Wipes-cat.11044960.11045218
ID,SHP,https://shopee.co.id/Popok-Sekali-Pakai-cat.11043350.11043433.11043436
ID,SHP,https://shopee.co.id/Tisu-cat.11043350.11043390.11043394
SG,SHP,https://shopee.sg/Disposable-Diapers-cat.11011538.11011614.11011616
SG,SHP,https://shopee.sg/Baby-Wipes-cat.11011538.11011584.11011588
MY,SHP,https://shopee.com.my/Disposable-Diapers-cat.11000345.11000397.11000402
MY,SHP,https://shopee.com.my/Wipes-Refills-cat.11000345.11000385.11000393
VN,LAZ,https://www.lazada.vn/ta-giay/
VN,LAZ,https://www.lazada.vn/khan-uot/
SG,LAZ,https://www.lazada.sg/shop-disposable-diapers/
SG,LAZ,https://www.lazada.sg/shop-baby-wipes-refills/
ID,LAZ,https://www.lazada.co.id/beli-popok-sekali-pakai/
ID,LAZ,https://www.lazada.co.id/beli-lap-bayi-isi-ulang/
